## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.title,entity.thumbnailUrl,entity.imageAlt,entity.pageUrl,entity.canBuyTicket,entity.canDrawBreak,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
LMAX,LOTTO MAX,lottery,LOTTO MAX,/content/dam/olg/web/product/lottery/product/lotto-max/lottomax-w.png,LOTTO MAX,/content/olg/en/lottery/play-lotto-max-encore.html,TRUE,TRUE,,,,,,,,,,,
649,LOTTO 6/49,lottery,LOTTO 6/49,/content/dam/olg/web/product/lottery/product/lotto-649/lotto-649.png,LOTTO 6/49,/content/olg/en/lottery/play-lotto-649-encore.html,TRUE,TRUE,,,,,,,,,,,
DLYGND,DAILY GRAND,lottery,DAILY GRAND,/content/dam/olg/web/product/lottery/product/daily-grand/daily-grand.png,DAILY GRAND,/content/olg/en/lottery/play-daily-grand-encore.html,TRUE,TRUE,,,,,,,,,,,
DKENO,DAILY KENO,lottery,DAILY KENO,/content/dam/olg/web/product/lottery/product/daily-keno/daily-keno.png,DAILY KENO,/content/olg/en/lottery/play-daily-keno-encore.html,TRUE,TRUE,,,,,,,,,,,
ONT49,ONTARIO 49,lottery,ONTARIO 49,/content/dam/olg/web/product/lottery/product/ontario-49/ontario49.png,ONTARIO 49,/content/olg/en/lottery/play-ontario-49-encore.html,TRUE,TRUE,,,,,,,,,,,
ENCORE,ENCORE,lottery,ENCORE,/content/dam/olg/web/product/lottery/product/encore/encore.png,ENCORE,/content/olg/en/lottery/play-encore.html,,,,,,,,,,,,,
PICK2,Pick 2,lottery,Pick 2,/content/dam/olg/web/product/lottery/product/pick-2/Pick2_RGB.png,Pick 2,/content/olg/en/lottery/play-pick-2.html,TRUE,TRUE,,,,,,,,,,,
PICK3,PICK 3,lottery,PICK 3,/content/dam/olg/web/product/lottery/product/pick-3/Pick3_RGB.png,PICK 3,/content/olg/en/lottery/play-pick-3.html,TRUE,TRUE,,,,,,,,,,,
PICK4,Pick 4,lottery,Pick 4,/content/dam/olg/web/product/lottery/product/pick-4/Pick4_RGB.png,Pick 4,/content/olg/en/lottery/play-pick-4.html,TRUE,TRUE,,,,,,,,,,,
